Sample 00039: {'mpuData': {'accelX': 38656, 'accelY': 22294, 'accelZ': 5659}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00040: {'mpuData': {'accelX': 45056, 'accelY': 22806, 'accelZ': 58650}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 28166}}
Sample 00041: {'mpuData': {'accelX': 42240, 'accelY': 18198, 'accelZ': 2075}, 'adcData': {'adcX': 0, 'adcY': 18690, 'adcZ': 59144}}
Sample 00042: {'mpuData': {'accelX': 43264, 'accelY': 27670, 'accelZ': 65050}, 'adcData': {'adcX': 0, 'adcY': 28681, 'adcZ': 1806}}
Sample 00043: {'mpuData': {'accelX': 44288, 'accelY': 30486, 'accelZ': 65050}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00044: {'mpuData': {'accelX': 41984, 'accelY': 28950, 'accelZ': 4123}, 'adcData': {'adcX': 0, 'adcY': 4352, 'adcZ': 36870}}
Sample 00045: {'mpuData': {'accelX': 45056, 'accelY': 25366, 'accelZ': 54554}, 'adcData': {'adcX': 0, 'adcY': 20482, 'adcZ': 60936}}
Sample 00046: {'mpuData': {'accelX': 42496, 'accelY': 17430, 'accelZ': 62490}, 'adcData': {'adcX': 0, 'adcY': 24585, 'adcZ': 2830}}
Sample 00047: {'mpuData': {'accelX': 44032, 'accelY': 26902, 'accelZ': 795}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00048: {'mpuData': {'accelX': 38400, 'accelY': 21014, 'accelZ': 63514}, 'adcData': {'adcX': 0, 'adcY': 512, 'adcZ': 31238}}
Sample 00049: {'mpuData': {'accelX': 41216, 'accelY': 18198, 'accelZ': 14363}, 'adcData': {'adcX': 0, 'adcY': 19202, 'adcZ': 60424}}
Sample 00050: {'mpuData': {'accelX': 29184, 'accelY': 15638, 'accelZ': 3099}, 'adcData': {'adcX': 0, 'adcY': 21769, 'adcZ': 61453}}
Sample 00051: {'mpuData': {'accelX': 37120, 'accelY': 21014, 'accelZ': 15131}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00052: {'mpuData': {'accelX': 31232, 'accelY': 15126, 'accelZ': 1051}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 28422}}
Sample 00053: {'mpuData': {'accelX': 35584, 'accelY': 15894, 'accelZ': 8475}, 'adcData': {'adcX': 0, 'adcY': 19202, 'adcZ': 60168}}
Sample 00054: {'mpuData': {'accelX': 33024, 'accelY': 15638, 'accelZ': 10779}, 'adcData': {'adcX': 0, 'adcY': 20745, 'adcZ': 61453}}
Sample 00055: {'mpuData': {'accelX': 33792, 'accelY': 14870, 'accelZ': 6683}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00056: {'mpuData': {'accelX': 32512, 'accelY': 15894, 'accelZ': 7451}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 27398}}
Sample 00057: {'mpuData': {'accelX': 34816, 'accelY': 17174, 'accelZ': 5403}, 'adcData': {'adcX': 0, 'adcY': 17666, 'adcZ': 58888}}
Sample 00058: {'mpuData': {'accelX': 43520, 'accelY': 18966, 'accelZ': 6427}, 'adcData': {'adcX': 0, 'adcY': 20489, 'adcZ': 63757}}
Sample 00059: {'mpuData': {'accelX': 38400, 'accelY': 13846, 'accelZ': 16923}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00060: {'mpuData': {'accelX': 43520, 'accelY': 23062, 'accelZ': 3611}, 'adcData': {'adcX': 0, 'adcY': 0, 'adcZ': 29958}}
Sample 00061: {'mpuData': {'accelX': 41216, 'accelY': 22038, 'accelZ': 5915}, 'adcData': {'adcX': 0, 'adcY': 16130, 'adcZ': 56072}}
Sample 00062: {'mpuData': {'accelX': 45056, 'accelY': 23830, 'accelZ': 6427}, 'adcData': {'adcX': 0, 'adcY': 26377, 'adcZ': 65293}}
Sample 00063: {'mpuData': {'accelX': 42240, 'accelY': 23318, 'accelZ': 2331}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00064: {'mpuData': {'accelX': 43264, 'accelY': 22294, 'accelZ': 65306}, 'adcData': {'adcX': 0, 'adcY': 6400, 'adcZ': 37382}}
Sample 00065: {'mpuData': {'accelX': 41472, 'accelY': 22294, 'accelZ': 1051}, 'adcData': {'adcX': 0, 'adcY': 18178, 'adcZ': 58888}}
Sample 00066: {'mpuData': {'accelX': 39680, 'accelY': 26390, 'accelZ': 6939}, 'adcData': {'adcX': 0, 'adcY': 17161, 'adcZ': 61453}}
